jenis_nakes,kode_provinsi,nama_provinsi,puskesmas,rumah_sakit,faskes_lainnya,diperbarui_pada
KESEHATAN LINGKUNGAN,92,PAPUA BARAT,83,20,4,2024-05-25T00:00:00+00:00
KESEHATAN LINGKUNGAN,96,PAPUA BARAT DAYA,78,16,17,2024-05-27T00:00:00+00:00
KESEHATAN LINGKUNGAN,94,PAPUA TENGAH,106,7,12,2024-05-29T00:00:00+00:00
KESEHATAN LINGKUNGAN,65,KALIMANTAN UTARA,76,30,14,2024-05-29T00:00:00+00:00
KESEHATAN LINGKUNGAN,91,PAPUA,160,47,14,2024-05-29T00:00:00+00:00
KESEHATAN LINGKUNGAN,75,GORONTALO,159,48,46,2024-05-29T00:00:00+00:00
KESEHATAN LINGKUNGAN,95,PAPUA PEGUNUNGAN,54,13,8,2024-05-30T00:00:00+00:00
KESEHATAN LINGKUNGAN,62,KALIMANTAN TENGAH,181,56,11,2024-05-30T00:00:00+00:00
KESEHATAN LINGKUNGAN,93,PAPUA SELATAN,56,10,15,2024-05-30T00:00:00+00:00
KESEHATAN LINGKUNGAN,19,KEPULAUAN BANGKA BELITUNG,90,33,17,2024-05-30T00:00:00+00:00
KESEHATAN LINGKUNGAN,64,KALIMANTAN TIMUR,225,91,23,2024-05-30T00:00:00+00:00
KESEHATAN LINGKUNGAN,71,SULAWESI UTARA,313,131,25,2024-05-30T00:00:00+00:00
KESEHATAN LINGKUNGAN,17,BENGKULU,201,54,28,2024-05-30T00:00:00+00:00
KESEHATAN LINGKUNGAN,21,KEPULAUAN RIAU,175,70,29,2024-05-30T00:00:00+00:00
KESEHATAN LINGKUNGAN,63,KALIMANTAN SELATAN,412,125,31,2024-05-30T00:00:00+00:00
KESEHATAN LINGKUNGAN,76,SULAWESI BARAT,176,40,33,2024-05-30T00:00:00+00:00
KESEHATAN LINGKUNGAN,36,BANTEN,255,138,34,2024-05-30T00:00:00+00:00
KESEHATAN LINGKUNGAN,34,DAERAH ISTIMEWA YOGYAKARTA,162,157,36,2024-05-30T00:00:00+00:00
KESEHATAN LINGKUNGAN,82,MALUKU UTARA,242,42,36,2024-05-30T00:00:00+00:00
KESEHATAN LINGKUNGAN,14,RIAU,282,80,39,2024-05-30T00:00:00+00:00
KESEHATAN LINGKUNGAN,52,NUSA TENGGARA BARAT,436,101,44,2024-05-30T00:00:00+00:00
KESEHATAN LINGKUNGAN,53,NUSA TENGGARA TIMUR,898,159,61,2024-05-30T00:00:00+00:00
KESEHATAN LINGKUNGAN,13,SUMATERA BARAT,385,151,61,2024-05-30T00:00:00+00:00
KESEHATAN LINGKUNGAN,15,JAMBI,295,109,63,2024-05-30T00:00:00+00:00
KESEHATAN LINGKUNGAN,51,BALI,214,162,65,2024-05-30T00:00:00+00:00
KESEHATAN LINGKUNGAN,74,SULAWESI TENGGARA,570,103,74,2024-05-30T00:00:00+00:00
KESEHATAN LINGKUNGAN,81,MALUKU,461,124,80,2024-05-30T00:00:00+00:00
KESEHATAN LINGKUNGAN,12,SUMATERA UTARA,522,183,92,2024-05-30T00:00:00+00:00
KESEHATAN LINGKUNGAN,72,SULAWESI TENGAH,435,173,93,2024-05-30T00:00:00+00:00
KESEHATAN LINGKUNGAN,16,SUMATERA SELATAN,633,198,109,2024-05-30T00:00:00+00:00
KESEHATAN LINGKUNGAN,18,LAMPUNG,469,136,113,2024-05-30T00:00:00+00:00
KESEHATAN LINGKUNGAN,61,KALIMANTAN BARAT,410,122,121,2024-05-30T00:00:00+00:00
KESEHATAN LINGKUNGAN,11,ACEH,950,309,131,2024-05-30T00:00:00+00:00
KESEHATAN LINGKUNGAN,32,JAWA BARAT,1042,466,140,2024-05-30T00:00:00+00:00
KESEHATAN LINGKUNGAN,31,DKI JAKARTA,162,280,173,2024-05-30T00:00:00+00:00
KESEHATAN LINGKUNGAN,35,JAWA TIMUR,982,589,186,2024-05-30T00:00:00+00:00
KESEHATAN LINGKUNGAN,73,SULAWESI SELATAN,941,329,222,2024-05-30T00:00:00+00:00
KESEHATAN LINGKUNGAN,33,JAWA TENGAH,1180,555,249,2024-05-30T00:00:00+00:00
