jenis_nakes,kode_provinsi,nama_provinsi,puskesmas,rumah_sakit,faskes_lainnya,diperbarui_pada
KESEHATAN TRADISIONAL,11,ACEH,2,0,0,2024-04-20T00:00:00+00:00
KESEHATAN TRADISIONAL,95,PAPUA PEGUNUNGAN,64,0,0,2024-02-08T00:00:00+00:00
KESEHATAN TRADISIONAL,81,MALUKU,0,1,0,2024-02-29T00:00:00+00:00
KESEHATAN TRADISIONAL,71,SULAWESI UTARA,0,2,0,2024-02-08T00:00:00+00:00
KESEHATAN TRADISIONAL,34,DAERAH ISTIMEWA YOGYAKARTA,0,4,0,2024-05-15T00:00:00+00:00
KESEHATAN TRADISIONAL,14,RIAU,0,0,1,2024-03-23T00:00:00+00:00
KESEHATAN TRADISIONAL,74,SULAWESI TENGGARA,0,0,1,2024-02-08T00:00:00+00:00
KESEHATAN TRADISIONAL,75,GORONTALO,0,0,1,2024-04-04T00:00:00+00:00
KESEHATAN TRADISIONAL,63,KALIMANTAN SELATAN,0,0,1,2024-05-30T00:00:00+00:00
KESEHATAN TRADISIONAL,52,NUSA TENGGARA BARAT,0,1,1,2024-05-22T00:00:00+00:00
KESEHATAN TRADISIONAL,73,SULAWESI SELATAN,0,3,1,2024-05-21T00:00:00+00:00
KESEHATAN TRADISIONAL,16,SUMATERA SELATAN,0,1,2,2024-05-26T00:00:00+00:00
KESEHATAN TRADISIONAL,36,BANTEN,0,0,3,2024-05-06T00:00:00+00:00
KESEHATAN TRADISIONAL,12,SUMATERA UTARA,0,0,3,2024-05-30T00:00:00+00:00
KESEHATAN TRADISIONAL,13,SUMATERA BARAT,0,0,3,2024-02-29T00:00:00+00:00
KESEHATAN TRADISIONAL,64,KALIMANTAN TIMUR,0,0,5,2024-05-25T00:00:00+00:00
KESEHATAN TRADISIONAL,51,BALI,0,2,9,2024-05-29T00:00:00+00:00
KESEHATAN TRADISIONAL,32,JAWA BARAT,0,2,20,2024-05-03T00:00:00+00:00
KESEHATAN TRADISIONAL,33,JAWA TENGAH,1,3,33,2024-05-15T00:00:00+00:00
KESEHATAN TRADISIONAL,18,LAMPUNG,1,0,49,2024-05-18T00:00:00+00:00
KESEHATAN TRADISIONAL,35,JAWA TIMUR,65,9,106,2024-05-30T00:00:00+00:00
KESEHATAN TRADISIONAL,31,DKI JAKARTA,0,0,129,2024-05-22T00:00:00+00:00
