jenis_nakes,kode_provinsi,nama_provinsi,puskesmas,rumah_sakit,faskes_lainnya,diperbarui_pada
KETERAPIAN FISIK,95,PAPUA PEGUNUNGAN,0,4,0,2024-03-02T00:00:00+00:00
KETERAPIAN FISIK,91,PAPUA,0,46,0,2024-05-07T00:00:00+00:00
KETERAPIAN FISIK,76,SULAWESI BARAT,6,37,4,2024-05-11T00:00:00+00:00
KETERAPIAN FISIK,82,MALUKU UTARA,7,51,2,2024-05-13T00:00:00+00:00
KETERAPIAN FISIK,96,PAPUA BARAT DAYA,0,9,0,2024-05-15T00:00:00+00:00
KETERAPIAN FISIK,92,PAPUA BARAT,2,21,0,2024-05-15T00:00:00+00:00
KETERAPIAN FISIK,75,GORONTALO,0,31,7,2024-05-20T00:00:00+00:00
KETERAPIAN FISIK,19,KEPULAUAN BANGKA BELITUNG,2,83,15,2024-05-22T00:00:00+00:00
KETERAPIAN FISIK,94,PAPUA TENGAH,6,13,1,2024-05-24T00:00:00+00:00
KETERAPIAN FISIK,93,PAPUA SELATAN,3,10,0,2024-05-28T00:00:00+00:00
KETERAPIAN FISIK,81,MALUKU,4,66,4,2024-05-28T00:00:00+00:00
KETERAPIAN FISIK,17,BENGKULU,2,66,2,2024-05-29T00:00:00+00:00
KETERAPIAN FISIK,52,NUSA TENGGARA BARAT,19,231,33,2024-05-29T00:00:00+00:00
KETERAPIAN FISIK,71,SULAWESI UTARA,27,153,10,2024-05-29T00:00:00+00:00
KETERAPIAN FISIK,65,KALIMANTAN UTARA,0,43,2,2024-05-30T00:00:00+00:00
KETERAPIAN FISIK,51,BALI,1,228,86,2024-05-30T00:00:00+00:00
KETERAPIAN FISIK,31,DKI JAKARTA,1,1243,466,2024-05-30T00:00:00+00:00
KETERAPIAN FISIK,62,KALIMANTAN TENGAH,1,109,19,2024-05-30T00:00:00+00:00
KETERAPIAN FISIK,21,KEPULAUAN RIAU,2,125,3,2024-05-30T00:00:00+00:00
KETERAPIAN FISIK,61,KALIMANTAN BARAT,3,123,47,2024-05-30T00:00:00+00:00
KETERAPIAN FISIK,36,BANTEN,4,543,39,2024-05-30T00:00:00+00:00
KETERAPIAN FISIK,18,LAMPUNG,4,193,29,2024-05-30T00:00:00+00:00
KETERAPIAN FISIK,72,SULAWESI TENGAH,8,103,21,2024-05-30T00:00:00+00:00
KETERAPIAN FISIK,33,JAWA TENGAH,269,1745,372,2024-05-30T00:00:00+00:00
KETERAPIAN FISIK,64,KALIMANTAN TIMUR,15,243,46,2024-05-30T00:00:00+00:00
KETERAPIAN FISIK,63,KALIMANTAN SELATAN,16,169,14,2024-05-30T00:00:00+00:00
KETERAPIAN FISIK,12,SUMATERA UTARA,20,460,21,2024-05-30T00:00:00+00:00
KETERAPIAN FISIK,74,SULAWESI TENGGARA,21,105,23,2024-05-30T00:00:00+00:00
KETERAPIAN FISIK,15,JAMBI,21,165,10,2024-05-30T00:00:00+00:00
KETERAPIAN FISIK,16,SUMATERA SELATAN,25,332,5,2024-05-30T00:00:00+00:00
KETERAPIAN FISIK,32,JAWA BARAT,31,1734,174,2024-05-30T00:00:00+00:00
KETERAPIAN FISIK,73,SULAWESI SELATAN,33,474,76,2024-05-30T00:00:00+00:00
KETERAPIAN FISIK,13,SUMATERA BARAT,36,274,20,2024-05-30T00:00:00+00:00
KETERAPIAN FISIK,53,NUSA TENGGARA TIMUR,45,145,15,2024-05-30T00:00:00+00:00
KETERAPIAN FISIK,14,RIAU,46,333,11,2024-05-30T00:00:00+00:00
KETERAPIAN FISIK,34,DAERAH ISTIMEWA YOGYAKARTA,61,393,57,2024-05-30T00:00:00+00:00
KETERAPIAN FISIK,35,JAWA TIMUR,87,1274,219,2024-05-30T00:00:00+00:00
KETERAPIAN FISIK,11,ACEH,153,346,17,2024-05-30T00:00:00+00:00
