jenis_nakes,kode_provinsi,nama_provinsi,puskesmas,rumah_sakit,faskes_lainnya,diperbarui_pada
TEKNIK BIOMEDIKA,96,PAPUA BARAT DAYA,112,98,14,2024-05-27T00:00:00+00:00
TEKNIK BIOMEDIKA,34,DAERAH ISTIMEWA YOGYAKARTA,257,1350,443,2024-05-30T00:00:00+00:00
TEKNIK BIOMEDIKA,32,JAWA BARAT,1539,7460,2115,2024-05-30T00:00:00+00:00
TEKNIK BIOMEDIKA,63,KALIMANTAN SELATAN,528,1081,316,2024-05-30T00:00:00+00:00
TEKNIK BIOMEDIKA,33,JAWA TENGAH,1554,6380,1820,2024-05-30T00:00:00+00:00
TEKNIK BIOMEDIKA,91,PAPUA,286,332,107,2024-05-30T00:00:00+00:00
TEKNIK BIOMEDIKA,36,BANTEN,287,2016,406,2024-05-30T00:00:00+00:00
TEKNIK BIOMEDIKA,17,BENGKULU,309,474,120,2024-05-30T00:00:00+00:00
TEKNIK BIOMEDIKA,81,MALUKU,336,373,70,2024-05-30T00:00:00+00:00
TEKNIK BIOMEDIKA,95,PAPUA PEGUNUNGAN,81,51,12,2024-05-30T00:00:00+00:00
TEKNIK BIOMEDIKA,82,MALUKU UTARA,340,374,94,2024-05-30T00:00:00+00:00
TEKNIK BIOMEDIKA,72,SULAWESI TENGAH,342,565,99,2024-05-30T00:00:00+00:00
TEKNIK BIOMEDIKA,62,KALIMANTAN TENGAH,342,666,144,2024-05-30T00:00:00+00:00
TEKNIK BIOMEDIKA,31,DKI JAKARTA,343,5372,1925,2024-05-30T00:00:00+00:00
TEKNIK BIOMEDIKA,65,KALIMANTAN UTARA,89,234,37,2024-05-30T00:00:00+00:00
TEKNIK BIOMEDIKA,16,SUMATERA SELATAN,607,1474,242,2024-05-30T00:00:00+00:00
TEKNIK BIOMEDIKA,93,PAPUA SELATAN,98,73,17,2024-05-30T00:00:00+00:00
TEKNIK BIOMEDIKA,15,JAMBI,356,721,209,2024-05-30T00:00:00+00:00
TEKNIK BIOMEDIKA,64,KALIMANTAN TIMUR,364,1031,435,2024-05-30T00:00:00+00:00
TEKNIK BIOMEDIKA,21,KEPULAUAN RIAU,115,551,107,2024-05-30T00:00:00+00:00
TEKNIK BIOMEDIKA,75,GORONTALO,117,271,46,2024-05-30T00:00:00+00:00
TEKNIK BIOMEDIKA,76,SULAWESI BARAT,123,190,41,2024-05-30T00:00:00+00:00
TEKNIK BIOMEDIKA,19,KEPULAUAN BANGKA BELITUNG,126,381,109,2024-05-30T00:00:00+00:00
TEKNIK BIOMEDIKA,94,PAPUA TENGAH,139,141,27,2024-05-30T00:00:00+00:00
TEKNIK BIOMEDIKA,35,JAWA TIMUR,1683,6449,2326,2024-05-30T00:00:00+00:00
TEKNIK BIOMEDIKA,71,SULAWESI UTARA,155,539,66,2024-05-30T00:00:00+00:00
TEKNIK BIOMEDIKA,92,PAPUA BARAT,156,198,19,2024-05-30T00:00:00+00:00
TEKNIK BIOMEDIKA,53,NUSA TENGGARA TIMUR,943,950,237,2024-05-30T00:00:00+00:00
TEKNIK BIOMEDIKA,14,RIAU,434,1259,202,2024-05-30T00:00:00+00:00
TEKNIK BIOMEDIKA,12,SUMATERA UTARA,698,2199,570,2024-05-30T00:00:00+00:00
TEKNIK BIOMEDIKA,11,ACEH,703,1481,187,2024-05-30T00:00:00+00:00
TEKNIK BIOMEDIKA,51,BALI,193,1421,390,2024-05-30T00:00:00+00:00
TEKNIK BIOMEDIKA,74,SULAWESI TENGGARA,719,624,204,2024-05-30T00:00:00+00:00
TEKNIK BIOMEDIKA,13,SUMATERA BARAT,469,1381,256,2024-05-30T00:00:00+00:00
TEKNIK BIOMEDIKA,18,LAMPUNG,476,1148,325,2024-05-30T00:00:00+00:00
TEKNIK BIOMEDIKA,61,KALIMANTAN BARAT,487,852,338,2024-05-30T00:00:00+00:00
TEKNIK BIOMEDIKA,73,SULAWESI SELATAN,1008,2187,415,2024-05-30T00:00:00+00:00
TEKNIK BIOMEDIKA,52,NUSA TENGGARA BARAT,754,1126,304,2024-05-30T00:00:00+00:00
